,raw,label,clean
25,Cornflakes* (Mais*| Rohrohrzucker*| Meersalz)| Buchweizenflakes* (Buchweizenmehl*| Maisgrieß*| Rohrohrzucker*| Meersalz)| Schokocornflakes* (Mais*| Rohrohrzucker*| Kakaobutter*| Kakaomasse*| Vollmilchpulver*| Überzugsmittel: Gummi Arabicum*| Maismalz*| Meersalz)| Kakao-Bälle* (Maisgrieß*| Rohrzucker*| Kakaopulver*| Meersalz)| geröstete Kokos Chips* (Kokosnuss*| Vollrohrohrzucker*| Salz)| Bananen*,glutenfrei,cornflakes mais rohrohrzucker meersalz buchweizenflakes buchweizenmehl maisgrieß rohrohrzucker meersalz schokocornflakes mais rohrohrzucker kakaobutter kakaomasse vollmilchpulver überzugsmittel gummi arabicum maismalz meersalz kakaobälle maisgrieß rohrzucker kakaopulver meersalz geröstete kokos chips kokosnuss vollrohrohrzucker salz bananen
26,Frucht* 66|4%% (Banane| Pfirsich 25%)| Traubensaft aus Traubensaftkonzentrat)| Wasser| Reisgrieß* 6%| Säuerungsmittel Citronensäure| Antioxidationsmittel Ascorbinsäure²| Thiamin (Vitamin B1). *aus biologischer Erzeugung ²Ascorbinsäure ist als Vitamin C auch natürlicherweise in Früchten enthalten.,glutenfrei,frucht  banane pfirsich  traubensaft aus traubensaftkonzentrat wasser reisgrieß  säuerungsmittel citronensäure antioxidationsmittel ascorbinsäure thiamin vitamin b aus biologischer erzeugung ascorbinsäure ist als vitamin c auch natürlicherweise in früchten enthalten
27,Kochbananenmehl| Zucker| Reisvollkornmehl| Kakaopulver 7% (stark entölt)| Inulin| ungehärtetes Pflanzenfett (Palmöl)| Salz| natürliches Aroma,glutenfrei,kochbananenmehl zucker reisvollkornmehl kakaopulver  stark entölt inulin ungehärtetes pflanzenfett palmöl salz natürliches aroma
28,Amaranth* (100%). * aus kontrolliert biologischem Anbau,glutenfrei,amaranth   aus kontrolliert biologischem anbau
29,Teffflocken| glutenfrei aus kontrolliert biologischem Anbau,glutenfrei,teffflocken glutenfrei aus kontrolliert biologischem anbau
30,Schokoflaces 45% [Cornflaces (Mais**| Honig*| Meersalz| Reissirup*)| VOLLMILCHSCHOKOLADE (Rohrohrzucker*| Kakaobutter*| VOLLMILCHPULVER*| Kakaomasse*) Zartbitterschokolade (Kakaomasse*| Rohrzucker*| Kakaobutter*)| Weiße Schokolade (Rohrzucker*| Kakaobutter*| VOLLMILCHPULVER)]| Cornflaces 30% (Mais**| Honig*| Meersalz| Reissirup*)| HASELNÜSSE geröstet| gehackt**| MANDELN geröstet| gehackt**| Sonnenblumenkerne geröstet**,glutenfrei,schokoflaces  cornflaces mais honig meersalz reissirup vollmilchschokolade rohrohrzucker kakaobutter vollmilchpulver kakaomasse zartbitterschokolade kakaomasse rohrzucker kakaobutter weiße schokolade rohrzucker kakaobutter vollmilchpulver cornflaces  mais honig meersalz reissirup haselnüsse geröstet gehackt mandeln geröstet gehackt sonnenblumenkerne geröstet
31,Mais 98|7%| Salz| Emulgator: Sonnenblumen-Lecithin. Ohne Zuckerersatz. Enthält von Natur aus Zucker.,glutenfrei,mais  salz emulgator sonnenblumenlecithin ohne zuckerersatz enthält von natur aus zucker
32,Cornflakes (Mais| Zucker| Salz)| Zucker| Kakaomasse| Bananenchips (Bananen| Kokosöl| Zucker| Aroma)| Reisextrudat (Vollkornreismehl)| Kakaobutter| Vollmilchpulver| Äpfel getrocknet (mit Antioxidationsmitteln: Zitronensäure)| Überzugsmittel: Gummi arabicum| Emulgator: Sojalecithin| Reismehl| Aroma (Vanillin),glutenfrei,cornflakes mais zucker salz zucker kakaomasse bananenchips bananen kokosöl zucker aroma reisextrudat vollkornreismehl kakaobutter vollmilchpulver äpfel getrocknet mit antioxidationsmitteln zitronensäure überzugsmittel gummi arabicum emulgator sojalecithin reismehl aroma vanillin
33,Leinsaat geschrotet,glutenfrei,leinsaat geschrotet
34,Mais (28%)| Sirup aus Zuckerrohr| brauner Reis (13%)| Rapsöl| gemischte Nüsse (Mandel| Walnuss| Haselnuss| Brasiliennuss| Pekannuss) (8%)| gemischte Trockenfrüchte (Rosinen| Kokosnuss| getrocknete und gezuckerte Cranberries [Cranberries| Zucker| Sonnenblumenöl]) (8%)| Sonnenblumenkerne| Sesam| Leinsamen| Maisstärke| Reiskleie| Aromen (enthält Nüsse)| Farbstoff: einfacher Zuckerkulör| Meersalz.,glutenfrei,mais  sirup aus zuckerrohr brauner reis  rapsöl gemischte nüsse mandel walnuss haselnuss brasiliennuss pekannuss  gemischte trockenfrüchte rosinen kokosnuss getrocknete und gezuckerte cranberries cranberries zucker sonnenblumenöl  sonnenblumenkerne sesam leinsamen maisstärke reiskleie aromen enthält nüsse farbstoff einfacher zuckerkulör meersalz
35,Hirsevollkornflocken**,glutenfrei,hirsevollkornflocken
36,Mais**(94%)| Blütenhonig*| Meersalz unjodiert| Reissirup*,glutenfrei,mais blütenhonig meersalz unjodiert reissirup
37,Buchweizenflocken* glutenfrei,glutenfrei,buchweizenflocken glutenfrei
38,Mais** 90%| Rohrohrzucker**| Reissirup*| Meersalz,glutenfrei,mais  rohrohrzucker reissirup meersalz
39,Demineralisiertes Molkenpulver (aus MILCH) (29|6%)| Reismehl (25%)| MAGERMILCHPULVER (17|9%)| Bananenﬂocken (16|5%)| pﬂanzliches Fett (Palm-| Raps-| Kokosnuss-| Sonnenblumenöl| Emulgator: SOJALECITHIN)| Mineralstoffmischung (Calciumcarbonat| Eisen-III-diphosphat| Kaliumjodid)| Maltodextrin| Vitaminmischung (Vitamin C| Vitamin E| Vitamin A| Vitamin D| Biotin| Vitamin B6| Vitamin B1). Unter Schutzatmosphäre verpackt.,glutenfrei,demineralisiertes molkenpulver aus milch  reismehl  magermilchpulver  bananenocken  panzliches fett palm raps kokosnuss sonnenblumenöl emulgator sojalecithin mineralstoffmischung calciumcarbonat eiseniiidiphosphat kaliumjodid maltodextrin vitaminmischung vitamin c vitamin e vitamin a vitamin d biotin vitamin b vitamin b unter schutzatmosphäre verpackt
40,Kochbananenmehl| Zucker| Reisvollkornmehl| Kakaopulver (stark entölt) (7%)| Inulin| ungehärtetes Pflanzenfett (Palmöl)| Salz| natürliches Aroma (Vanille).,glutenfrei,kochbananenmehl zucker reisvollkornmehl kakaopulver stark entölt  inulin ungehärtetes pflanzenfett palmöl salz natürliches aroma vanille
41,Reis 82%| Zucker| Maisfaser 6%| Fruktose| Salz| Vitamine (Thiamin| Riboflavin| Niacin| Pantothensäure| B6| Folsäure| B12| D)| Eisen. Laktosefrei,glutenfrei,reis  zucker maisfaser  fruktose salz vitamine thiamin riboflavin niacin pantothensäure b folsäure b d eisen laktosefrei
42,Maisgrieß*| Zartbitterschokolade* 21% (Kakaomasse*| Rohrohrzucker*| Kakaobutter*| Kakaopulver*)| Sonnenblumenkerne*| Reismehl*| Buchweizenmehl*| Rohrohrzucker*| Amaranthmehl*| Kakaopulver*| Meersalz| Maismalz* *kontrolliert biologischer Anbau,glutenfrei,maisgrieß zartbitterschokolade  kakaomasse rohrohrzucker kakaobutter kakaopulver sonnenblumenkerne reismehl buchweizenmehl rohrohrzucker amaranthmehl kakaopulver meersalz maismalz kontrolliert biologischer anbau
43,Maisgrieß*| Rohrohrzucker*| Kakaopulver* 5%| Zartbitter Schokolade* 4|8% (Kakaomasse*| Rohrohrzucker*| Kakaobutter*)| Reismehl*| Quinoamehl*| Meersalz,glutenfrei,maisgrieß rohrohrzucker kakaopulver  zartbitter schokolade  kakaomasse rohrohrzucker kakaobutter reismehl quinoamehl meersalz
44,Reisflocken aus biodynamischer Erzeugung (demeter),glutenfrei,reisflocken aus biodynamischer erzeugung demeter
45,Getreide (33|5 %) (Reismehl| Maisgrieß (9|1 %)| demineralisiertes Molkenpulver (aus MILCH) (25|2 %)| MAGERMILCHPULVER (15|8 %)| Glucose| pflanzliches Fett (Palm-| Raps-| Kokosnuss-| Sonnenblumenöl| Emulgator: SOJALECITHIN)| Fructose| Mineralstoffmischung (Calciumcarbonat| Eisen-IIIdiphosphat| Kaliumjodid)| Maltodextrin| natürliches Vanillearoma| Vitaminmischung (Vitamin C| Vitamin E| Vitamin B1| Vitamin B6| Vitamin A| Biotin| Vitamin D)| Zimt| Aroma (Vanillin).,glutenfrei,getreide   reismehl maisgrieß   demineralisiertes molkenpulver aus milch   magermilchpulver   glucose pflanzliches fett palm raps kokosnuss sonnenblumenöl emulgator sojalecithin fructose mineralstoffmischung calciumcarbonat eiseniiidiphosphat kaliumjodid maltodextrin natürliches vanillearoma vitaminmischung vitamin c vitamin e vitamin b vitamin b vitamin a biotin vitamin d zimt aroma vanillin
46,Vollkorn Quinoa* gepufft,glutenfrei,vollkorn quinoa gepufft
47,Reis* (59%)| Maiskleie* (30%)| Maismehl* (2%)| Zucker*| Meersalz. *aus biologischer Landwirtschaft,glutenfrei,reis  maiskleie  maismehl  zucker meersalz aus biologischer landwirtschaft
48,Mais (29%)| Sirup aus Zuckerrohr| brauner Reis (13%)| Rapsöl| Sonnenblumenkerne| Walnüsse (6%)| Rosinen (4%)| getrocknete Äpfel (4%)| Sesam| Leinsamen| Maisstärke| gemahlener Zimt (1%)| Reiskleie| Aromen (enthält Nüsse)| natürliches Apfelaroma mit anderen natürlichen Aromen| Farbe: einfache Zuckerkulör| Meersalz.,glutenfrei,mais  sirup aus zuckerrohr brauner reis  rapsöl sonnenblumenkerne walnüsse  rosinen  getrocknete äpfel  sesam leinsamen maisstärke gemahlener zimt  reiskleie aromen enthält nüsse natürliches apfelaroma mit anderen natürlichen aromen farbe einfache zuckerkulör meersalz
49,expandiertes Getreide 53% (Mais| Hirse)| getrocknete Früchte 32% (getrocknete Datteln (getrocknete Datteln| Reismehl)| Rosinen (Rosinen| Sonnenblumenöl)| getrocknete Äpfel| Gojibeere)| Magermilchpulver ohne Laktose 15%. Die Früchte können Samen oder Fragmente davon enthalten.,glutenfrei,expandiertes getreide  mais hirse getrocknete früchte  getrocknete datteln getrocknete datteln reismehl rosinen rosinen sonnenblumenöl getrocknete äpfel gojibeere magermilchpulver ohne laktose  die früchte können samen oder fragmente davon enthalten
50,Sojaflocken| maisflocken| Rosinen 22%| Buchweizenflocken 19%| Datteln| Apfelstücke 2%| Presselbeeren| Amaranthflocken 0| 5%| Mandel 0| 5%,glutenfrei,sojaflocken maisflocken rosinen  buchweizenflocken  datteln apfelstücke  presselbeeren amaranthflocken   mandel  
51,Braunhirse-Cerealienmischung*(Braunhirse-Flakes*[Braunhirse*| Mais*| Reissirup*(Reis*| fermentiert| Wasser| Meersalz]| Braunhirse-Vollkorn-Flocken*) Reissirup*(Reis| fermentiert| Wasser)*| Hirse-Vollkorn-Flocken*| Kokosflocken*|MANDELN*| Vollkorn-Hirse gepufft*. *aus kontrolliert biologischem Anbau,glutenfrei,braunhirsecerealienmischungbraunhirseflakesbraunhirse mais reissirupreis fermentiert wasser meersalz braunhirsevollkornflocken reissirupreis fermentiert wasser hirsevollkornflocken kokosflockenmandeln vollkornhirse gepufft aus kontrolliert biologischem anbau
52,Reis* (100%). *aus kontrolliert biologischem Anbau,glutenfrei,reis  aus kontrolliert biologischem anbau
53,Maismehl| Meersalz.,glutenfrei,maismehl meersalz
54,Frucht 94% (Williams-Christ-Birnen 60%| säurearmer Apfelsaft aus Apfelsaftkonzentrat)| Reisgrieß| Reisstärke| Vitamin C.,glutenfrei,frucht  williamschristbirnen  säurearmer apfelsaft aus apfelsaftkonzentrat reisgrieß reisstärke vitamin c
55,Reis 99%**| Meersalz unjodiert **aus biodynamischer Erzeugung (demeter),glutenfrei,reis  meersalz unjodiert aus biodynamischer erzeugung demeter
56,Cornflakes 55% (Mais| Zucker| Salz)| Vollmilchschokolade (Zucker| Kakaobutter| VOLLMILCHPULVER| Kakaomasse| Emulgator: SOJALECITHIN)| Zartbitterschokolade (Kakaomasse| Zucker| Kakaobutter)| Überzugsmittel: Gummi arabicum.,glutenfrei,cornflakes  mais zucker salz vollmilchschokolade zucker kakaobutter vollmilchpulver kakaomasse emulgator sojalecithin zartbitterschokolade kakaomasse zucker kakaobutter überzugsmittel gummi arabicum
57,Maisgrieß* 66%| Reismehl* 9%| Buchweizenmehl* 9%| Rohrohrzucker*| Amaranthmehl*| Quinoamehl*| Meersalz * = Zutaten aus ökol. Landbau,glutenfrei,maisgrieß  reismehl  buchweizenmehl  rohrohrzucker amaranthmehl quinoamehl meersalz   zutaten aus ökol landbau
58,Hirsevollkornflocken* (38%)| Buchweizenvollkornflocken* (28%)| Dattelstücke*| Erdmandelmehl*| Apfelstücke*| Feigenstücke*| Gold Leinsamen*| Apfelmehl*| Chiasamen (Salvia hispanica)*| gepuffter Quinoa*| Reismehl*| Kardamom*| Ingwer*,glutenfrei,hirsevollkornflocken  buchweizenvollkornflocken  dattelstücke erdmandelmehl apfelstücke feigenstücke gold leinsamen apfelmehl chiasamen salvia hispanica gepuffter quinoa reismehl kardamom ingwer
59,Flocken (54|25%) (Vollkornreismehl| Maismehl)| Zucker| fettreduziertes Kakaopulver (6|3%)| Rapsöl| Haselnüsse (2|1%)| Milchzucker| Palmöl| Molkepulver (milch)| Sonnenblumenkernöl| fettarmes Milchpulver| Backtriebmittel: Diphosphate| Natriumcarbonat| Emulgator: Lecithin| Aroma,glutenfrei,flocken  vollkornreismehl maismehl zucker fettreduziertes kakaopulver  rapsöl haselnüsse  milchzucker palmöl molkepulver milch sonnenblumenkernöl fettarmes milchpulver backtriebmittel diphosphate natriumcarbonat emulgator lecithin aroma
60,Maisgrieß| Zucker| Kakaopulver 8%| Jodsalz. LAKTOSEFREI.,glutenfrei,maisgrieß zucker kakaopulver  jodsalz laktosefrei
61,Getreide (95|2%) (Bio-Reismehl (70%)| Bio-Maisgrieß (25|2%))| Bio-Tapiokastärke| Vitamin B1.,glutenfrei,getreide  bioreismehl  biomaisgrieß  biotapiokastärke vitamin b
62,Reismehl*| Vitamin B1. Unter Schutzatmosphäre verpackt. *aus biologischer Erzeugung,glutenfrei,reismehl vitamin b unter schutzatmosphäre verpackt aus biologischer erzeugung
63,Mais (94%)| Zucker| Salz. Hergestellt in Polen.,glutenfrei,mais  zucker salz hergestellt in polen
64,Mais| Zucker| Salz,glutenfrei,mais zucker salz
65,expandiertes Getreide 69|3% (Mais| Hirse)| Körner 15|3% (Kürbis| geschälte Samen| Leinsamen)| getrocknete Dattelstücke (getrocknete Datteln| Reismehl)| gefriergetrocknete Früchte 6|5% (Erdbeere| Himbeere| Cranberry). Die Früchte können Samen oder Fragmente davon enthalten.,glutenfrei,expandiertes getreide  mais hirse körner  kürbis geschälte samen leinsamen getrocknete dattelstücke getrocknete datteln reismehl gefriergetrocknete früchte  erdbeere himbeere cranberry die früchte können samen oder fragmente davon enthalten
66,Reis (83|2%)| Zucker| Maismehl (5|7%)| Salz| Vitamine (B1| B2| B3| B5| B6| B9| B12)| Eisen.,glutenfrei,reis  zucker maismehl  salz vitamine b b b b b b b eisen
67,Buchweizenvollkornflocken**. **aus kontrolliert biologischem Anbau,glutenfrei,buchweizenvollkornflocken aus kontrolliert biologischem anbau
68,Trockenfrüchte 30% (Äpfel| Aprikosen 19%| Datteln| Sultaninen 19%| Feigen 19%)| Cornflakes (Mais| Zucker| Salz)|Sojaflocken| Zuckerrübenballaststoff| Sojaschrot| Bananenchips (Bananen| Kokosfett| Zucker| Aroma)| Sonnenblumenkerne| Reisextrudat (Vollkornreismehl)| Leinsaat| Honig| Sonnenblumenöl| Zimt,glutenfrei,trockenfrüchte  äpfel aprikosen  datteln sultaninen  feigen  cornflakes mais zucker salzsojaflocken zuckerrübenballaststoff sojaschrot bananenchips bananen kokosfett zucker aroma sonnenblumenkerne reisextrudat vollkornreismehl leinsaat honig sonnenblumenöl zimt
69,SOJAFLOCKEN* 63%| Hanfsamen* geschält| Cornflakes* (Mais*| Meersalz| Maismalz*)| Buchweizenflocken*| Amaranth* gepufft| Sonnenblumenkerne*| Kürbiskerne* 4%| Kokosraspel*| CASHEWKERNE* 3%| MANDELN* blanchiert 2%| Chiasamen* (Salvia hispancia)| Buchweizen* gekeimt 1|5%,glutenfrei,sojaflocken  hanfsamen geschält cornflakes mais meersalz maismalz buchweizenflocken amaranth gepufft sonnenblumenkerne kürbiskerne  kokosraspel cashewkerne  mandeln blanchiert  chiasamen salvia hispancia buchweizen gekeimt 
70,Reismehl (64%)*| Rohrzucker*| Kakaopulver (4|2%)*|Maissirup*| Salz,glutenfrei,reismehl  rohrzucker kakaopulver maissirup salz
71,expandiertes Getreide 53% (Mais| Hirse)| getrocknete Früchte 32% (getrocknete Datteln (getrocknete Datteln| Reismehl)| Rosinen (Rosinen| Sonnenblumenöl)| getrocknete Äpfel| Gojibeere)| Magermilchpulver ohne Laktose 15%. Das Produkt kann Milch enthalten.,glutenfrei,expandiertes getreide  mais hirse getrocknete früchte  getrocknete datteln getrocknete datteln reismehl rosinen rosinen sonnenblumenöl getrocknete äpfel gojibeere magermilchpulver ohne laktose  das produkt kann milch enthalten
72,Getreide* (Reis*| Buchweizen* 21%)| Rohrzucker*| Honig* 1|2%. *aus kontrolliert biologischem Anbau,glutenfrei,getreide reis buchweizen  rohrzucker honig  aus kontrolliert biologischem anbau
73,Chiasamen* schwarz. *aus kontrolliert-ökologischer Landwirtschaft.,glutenfrei,chiasamen schwarz aus kontrolliertökologischer landwirtschaft
74,Maismehl| Zucker| Honig (1|4%)| Glukosesirup| Salz| Aroma.,glutenfrei,maismehl zucker honig  glukosesirup salz aroma
75,Cornflakes* 60% (Mais*| Rohrzucker* unraffiniert| Meersalz| Maismalz*)| Rohrzucker* unraffiniert| Kakaobutter*| VOLLMILCHPULVER*| Kakaomasse*| Überzugsmittel: Gummi arabicum*. *Zutaten aus ökologischer Landwirtschaft,glutenfrei,cornflakes  mais rohrzucker unraffiniert meersalz maismalz rohrzucker unraffiniert kakaobutter vollmilchpulver kakaomasse überzugsmittel gummi arabicum zutaten aus ökologischer landwirtschaft
76,Buchweizenflocken* 21%| Cornflakes* (Mais*| Meersalz| Maismalz*)| HASELNÜSSE* geröstet 11%| Rohrzucker* unraffiniert| Palmfett*| Glukosesirup* (aus Mais*)| Reisextrudat* (Vollkornreismehl*)| Kokosraspel*| Leinsamen*| Maisstärke*| Meersalz *Zutaten aus ökol.Landwirtschaft.,glutenfrei,buchweizenflocken  cornflakes mais meersalz maismalz haselnüsse geröstet  rohrzucker unraffiniert palmfett glukosesirup aus mais reisextrudat vollkornreismehl kokosraspel leinsamen maisstärke meersalz zutaten aus ökollandwirtschaft
77,Cerealien 90|5% (Maismehl| Quinoa 15%| Reismehl)| Zucker| Kakao.,glutenfrei,cerealien  maismehl quinoa  reismehl zucker kakao
